nm0207305	Jeanne-Marie Leprince de Beaumont	1711	1780	writer	tt2316801,tt2771200,tt0038348,tt0101414
nm0154716	Stephen Chbosky	1970	\N	writer,producer,director	tt1659337,tt2543472,tt2771200
nm1265802	Josh Gad	1981	\N	actor,producer,writer	tt0884732,tt2294629,tt2771200,tt0758752
nm1405398	Dan Stevens	1982	\N	actor,producer,soundtrack	tt2771200,tt1606375,tt2980592
nm3343855	Gabrielle-Suzanne Barbot de Villeneuve	1685	1755	writer	tt0101414,tt0092626,tt3500508,tt2771200
nm0818746	Evan Spiliotopoulos	\N	\N	writer,miscellaneous,producer	tt2771200,tt1267297,tt2381991,tt1216516
nm0914612	Emma Watson	1990	\N	actress,soundtrack,producer	tt0241527,tt0295297,tt0926084,tt2771200
nm0941314	Linda Woolverton	1952	\N	writer,miscellaneous,actress	tt0110357,tt1014759,tt1587310,tt0101414
nm0946734	David Yates	1963	\N	director,producer,writer	tt1201607,tt0417741,tt0373889,tt0926084
nm0837223	Alison Sudol	1984	\N	soundtrack,actress,writer	tt1327194,tt1586265,tt1067774,tt0480242
nm0283945	Dan Fogler	1976	\N	actor,director,soundtrack	tt3183660,tt0424823,tt0451079,tt0441773
nm0460141	Steve Kloves	1960	\N	writer,producer,director	tt0295297,tt0304141,tt0241527,tt1201607
nm0006133	James Newton Howard	1951	\N	music_department,composer,soundtrack	tt0468569,tt1951264,tt1587310,tt0465538
nm0382268	David Heyman	1961	\N	producer,actor,executive	tt1201607,tt0241527,tt0330373,tt1454468
nm0746830	J.K. Rowling	1965	\N	writer,producer,soundtrack	tt0295297,tt0241527,tt1201607,tt0330373
nm2239702	Katherine Waterston	1980	\N	actress,producer	tt2316204,tt3183660,tt2080374,tt1791528
nm0927880	Lionel Wigram	\N	\N	producer,writer,miscellaneous	tt0988045,tt0373889,tt1201607,tt1638355
nm1519666	Eddie Redmayne	1982	\N	actor,soundtrack	tt1707386,tt0810819,tt3183660,tt2980516
nm0000709	Robert Zemeckis	1952	\N	producer,writer,director	tt0338348,tt0099088,tt0096874,tt0088763
nm0182839	Marion Cotillard	1975	\N	actress,soundtrack,director	tt0450188,tt1345836,tt2053425,tt1375666
nm0121281	Don Burgess	1956	\N	cinematographer,camera_department,actor	tt0109830,tt0145487,tt0945513,tt0162222
nm1081121	Vincent Ebrahim	\N	\N	actor	tt3640424,tt0312004,tt0300792,tt0927170
nm0823330	Steve Starkey	\N	\N	producer,assistant_director,editorial_department	tt0162222,tt1907668,tt0096874,tt0109830
nm0006293	Alan Silvestri	1950	\N	composer,soundtrack,music_department	tt0458339,tt0848228,tt0109830,tt0481499
nm0364813	Jared Harris	1961	\N	actor,soundtrack,director	tt1515091,tt0787474,tt0443272,tt0110632
nm0000093	Brad Pitt	1963	\N	actor,producer,soundtrack	tt0137523,tt0421715,tt0361748,tt0816711
nm1140275	Steven Knight	\N	\N	writer,producer,director	tt2692904,tt0765443,tt1596345,tt2442560
nm0454752	Graham King	1961	\N	producer,executive	tt0407887,tt0450259,tt1024648,tt0816711
nm0000770	David Anspaugh	1946	\N	producer,director	tt0113851,tt0091217,tt0081873,tt0108002
nm0000432	Gene Hackman	1930	\N	actor,soundtrack,producer	tt0105695,tt0265666,tt0120660,tt0067116
nm0002320	Fred Murphy	\N	\N	cinematographer,camera_department,assistant_director	tt1442462,tt0329101,tt0363988,tt0132477
nm0941125	Sheb Wooley	1921	2003	actor,soundtrack,writer	tt0091217,tt0075029,tt0044706,tt0052504
nm0000025	Jerry Goldsmith	1929	2004	music_department,soundtrack,composer	tt0120762,tt0112178,tt0100802,tt0092455
nm0641839	Carroll Timothy O'Meara	1943	2007	editor,editorial_department	tt0082198,tt0110006,tt0091217,tt0087597
nm0686233	Angelo Pizzo	\N	\N	writer,producer,assistant_director	tt3719896,tt0108002,tt0091217,tt1620935
nm0214925	Carter DeHaven	1932	\N	assistant_director,producer,actor	tt0057622,tt0091217,tt0050066,tt0050073
nm0000454	Dennis Hopper	1936	2010	actor,director,writer	tt0064276,tt0078788,tt0108399,tt0111257
nm0001347	Barbara Hershey	1948	\N	actress	tt0106856,tt0947798,tt0091167,tt1591095
nm0005190	Garry Marshall	1934	2016	writer,producer,actor	tt0070992,tt0247638,tt0100405,tt0077053
nm0493369	J.F. Lawton	1960	\N	writer,producer,director	tt0100405,tt0398913,tt0105690,tt0115857
nm0586969	Arnon Milchan	1944	\N	producer,miscellaneous,actor	tt1663202,tt0137523,tt2267998,tt2024544
nm0004517	Jason Alexander	1959	\N	actor,soundtrack,producer	tt0116583,tt0098904,tt0100405,tt0108755
nm0720715	Steven Reuther	1951	2010	producer,production_manager	tt0100405,tt0119094,tt0092890,tt1142988
nm0000152	Richard Gere	1949	\N	actor,soundtrack,producer	tt0100405,tt0117381,tt1028532,tt0077405
nm0000624	Laura San Giacomo	1962	\N	actress	tt0102744,tt0118364,tt0098724,tt0100405
nm0000210	Julia Roberts	1967	\N	actress,producer,soundtrack	tt0100405,tt0125439,tt0376541,tt0195685
nm0591665	Charles Minsky	\N	\N	cinematographer,camera_department,director	tt0100405,tt0817230,tt0463034,tt1598822
nm0000814	John G. Avildsen	1935	2017	director,editor,producer	tt0087538,tt0100507,tt0091326,tt0075148
nm0949350	Burt Young	1940	\N	actor,writer,soundtrack	tt0075148,tt0071315,tt5425186,tt1606392
nm0153590	Robert Chartoff	1933	2015	producer	tt3076658,tt0075148,tt0089927,tt0081398
nm0000230	Sylvester Stallone	1946	\N	actor,writer,producer	tt1320253,tt0075148,tt0462499,tt0106582
nm0175722	Scott Conrad	\N	\N	editor,editorial_department,miscellaneous	tt0072730,tt0088889,tt0078446,tt0075148
nm0185583	James Crabe	1931	1989	cinematographer,camera_department,miscellaneous	tt0091326,tt0087538,tt0078966,tt0075148
nm0005563	Irwin Winkler	1931	\N	producer,writer,director	tt0993846,tt0075148,tt0081398,tt0099685
nm0006015	Bill Conti	1942	\N	music_department,composer,soundtrack	tt0075148,tt0479143,tt3076658,tt0081858
nm0001835	Carl Weathers	1948	\N	actor,director,miscellaneous	tt0093773,tt0075148,tt0079817,tt0089927
nm0001735	Talia Shire	1946	\N	actress,producer,director	tt0071562,tt0068646,tt0075148,tt0099674
nm0001188	Nora Ephron	1941	2012	writer,producer,director	tt1135503,tt0108160,tt0098635,tt0128853
nm0001854	Rita Wilson	1956	\N	actress,producer,soundtrack	tt1230414,tt0163187,tt0108160,tt0116705
nm0287811	Gary Foster	\N	\N	producer,miscellaneous	tt1439629,tt0259324,tt0108160,tt0117918
nm0033578	Jeff Arch	\N	\N	writer,producer,director	tt0438393,tt0407680,tt0108160,tt0110157
nm0539678	Ross Malinger	1984	\N	actor	tt0108160,tt0126170,tt0099938,tt0114576
nm0000212	Meg Ryan	1961	\N	actress,producer,soundtrack	tt0098635,tt0128853,tt0118617,tt0108160
nm0003299	Marc Shaiman	1959	\N	soundtrack,music_department,composer	tt0098635,tt0427327,tt0158983,tt0108160
nm0005815	Sven Nykvist	1922	2006	cinematographer,director,actor	tt0103939,tt0108160,tt0108550,tt0060827
nm0911486	David S. Ward	1945	\N	writer,director,miscellaneous	tt0110442,tt0097815,tt0070735,tt0108160
nm0000158	Tom Hanks	1956	\N	producer,actor,soundtrack	tt0162222,tt0120815,tt0109830,tt0382625
nm6087981	Mantis Khiralla	\N	\N	writer,producer,director	tt3335032,tt6450672
nm0431918	Mike Judge	1962	\N	writer,producer,actor	tt0151804,tt0115641,tt0387808,tt2575988
nm1073536	Dale Revo	\N	\N	actor	tt0105950
nm0471121	Christopher Kreynus	\N	\N	editor,editorial_department	tt0172456,tt0105950,tt0096613
nm0251550	Glenn Eichler	\N	\N	writer,producer,miscellaneous	tt3697842,tt0458254,tt0105950,tt0118298
nm0028712	John Andrews	\N	\N	producer,actor,miscellaneous	tt0112065,tt0115641,tt0105950,tt0134067
nm0003249	Kristofor Brown	\N	\N	producer,writer,miscellaneous	tt0273028,tt3544772,tt0817538,tt1344204
nm0765430	Joseph W. Sarno	1921	2010	director,writer,editor	tt0071093,tt0406951,tt0069914,tt0070066
nm0859555	Suzan Thomas	\N	\N	actress	tt0063176,tt0063375,tt0063213
nm0759141	Joel Saltz	\N	\N	actor	tt0063176
nm0397560	Rene Howard	\N	\N	actress	tt0062876,tt0063176,tt0063213
nm0790335	Rita Shea	\N	\N	actress	tt0063176
nm0926121	Betty Whitman	\N	\N	actress	tt0063176,tt0063213
nm0798981	Steve Silverman	\N	\N	cinematographer,camera_department,art_department	tt0061345,tt0070066,tt0062100,tt0073270
nm0437307	Peggy Steffans	1938	\N	actress,assistant_director,miscellaneous	tt0062385,tt0056053,tt0060252,tt0058961
nm0298989	Susan Furman	\N	\N	actress	tt0063176
nm0501092	Danielle LeMay	\N	\N	actress	tt0063176
nm0014959	Aja	1963	2006	actress,director,soundtrack	tt0189703,tt0173095,tt0189774,tt0134463
nm0494440	Lynn LeMay	1961	\N	actress,production_manager,director	tt0159670,tt1256527,tt0192760,tt1292033
nm0000465	Ron Jeremy	1953	\N	actor,director,writer	tt0124819,tt0184858,tt0144117,tt0122690
nm0273077	Don Fernando	1948	\N	actor,director,producer	tt0090939,tt0124573,tt0123681,tt0081593
nm0410010	Scott Irish	1958	\N	actor	tt0129502,tt0144468,tt0097039,tt0181324
nm0227110	Rocky Dilorenzo	\N	\N	actor	tt0143698,tt0190760,tt0093613,tt0096261
nm0001000	Tom Byron	1961	\N	actor,director,producer	tt0090567,tt0128683,tt1402577,tt1644691
nm0247529	Jade East	1954	\N	actress	tt0144468,tt0175092,tt0144469,tt0102804
nm0039106	Rachel Ashley	1964	\N	actress,costume_designer	tt0083709,tt0123827,tt0124680,tt0126503
nm0234809	Jon Dough	1962	2006	actor,director,producer	tt0139875,tt0111134,tt0113619,tt0102452
